date,AveragePrice
2016-07-05T00:00:00.000+05:30,3145098.282
2016-06-14T00:00:00.000+05:30,-2534021.1699999943
2016-07-28T00:00:00.000+05:30,1.4166391838000065E7
2016-06-29T00:00:00.000+05:30,1.4901952040000075E7
2016-02-01T00:00:00.000+05:30,8384367.346000018
2016-01-15T00:00:00.000+05:30,1.7190660899999954E7
2016-10-13T00:00:00.000+05:30,1588532.9979999894
2016-09-22T00:00:00.000+05:30,3460150.1060000686
2016-04-18T00:00:00.000+05:30,-8501613.671999967
2016-07-20T00:00:00.000+05:30,-2461399.4240000616
2016-07-14T00:00:00.000+05:30,9546104.232000034
2016-06-17T00:00:00.000+05:30,-3.1091957669999987E7
2016-04-26T00:00:00.000+05:30,-1.0061034348000009E7
2016-08-03T00:00:00.000+05:30,7693990.056000017
2016-06-13T00:00:00.000+05:30,-2013560.1479999148
2015-12-03T00:00:00.000+05:30,-2.0167819515999928E7
2016-10-21T00:00:00.000+05:30,-8892543.764000103
2016-05-06T00:00:00.000+05:30,6495058.59399995
2015-11-18T00:00:00.000+05:30,2.7491711974E7
2016-03-22T00:00:00.000+05:30,1.0159723137999991E7
2016-05-25T00:00:00.000+05:30,1.0790700184000006E7
2016-05-18T00:00:00.000+05:30,9015861.304000068
2016-04-11T00:00:00.000+05:30,-4308569.580000032
2016-08-08T00:00:00.000+05:30,3566309.352000042
2016-07-08T00:00:00.000+05:30,5821653.962000062
2016-09-13T00:00:00.000+05:30,2948406.623999999
2016-07-29T00:00:00.000+05:30,2616462.9699999345
2016-02-23T00:00:00.000+05:30,-1.9187096514000066E7
2016-01-14T00:00:00.000+05:30,4.145116098400004E7
2016-03-31T00:00:00.000+05:30,-3049217.996000023
2015-12-17T00:00:00.000+05:30,-3.766467741999992E7
2016-01-19T00:00:00.000+05:30,-3.1671038653999947E7
2016-09-09T00:00:00.000+05:30,-2.6511522432000063E7
2016-06-03T00:00:00.000+05:30,-4082770.4880000264
2016-07-11T00:00:00.000+05:30,8251446.356000042
2016-08-17T00:00:00.000+05:30,981523.4580000213
2016-02-10T00:00:00.000+05:30,-2.923487521200008E7
2015-12-02T00:00:00.000+05:30,-1.4307296875999993E7
2016-04-28T00:00:00.000+05:30,-6.309394620200001E7
2016-01-05T00:00:00.000+05:30,-3.6517229804000095E7
2016-06-15T00:00:00.000+05:30,-4610908.977999987
2015-12-10T00:00:00.000+05:30,-241491.13800001107
2016-05-04T00:00:00.000+05:30,-1.9166278744000036E7
2016-01-21T00:00:00.000+05:30,-1.1597123528000057E7
2016-02-04T00:00:00.000+05:30,-2908650.589999995
